transaction_id,month,customer_id,customer_name,segment,product_id,product_name,family,supplier,units,unit_price,unit_cost,revenue,direct_cost,gross_profit,cts,contribution,order_lines,picks,setups,billing_delay_days,terms_days,days_late,promo_flag
A000001,2024-01-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000002,2024-01-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000003,2024-01-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000004,2024-01-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000005,2024-01-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000006,2024-01-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000007,2024-01-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000008,2024-01-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000009,2024-01-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000010,2024-01-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000011,2024-01-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000012,2024-01-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000013,2024-02-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000014,2024-02-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000015,2024-02-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000016,2024-02-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000017,2024-02-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000018,2024-02-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000019,2024-02-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000020,2024-02-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000021,2024-02-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000022,2024-02-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000023,2024-02-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000024,2024-02-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000025,2024-03-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000026,2024-03-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000027,2024-03-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000028,2024-03-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000029,2024-03-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000030,2024-03-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000031,2024-03-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000032,2024-03-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000033,2024-03-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000034,2024-03-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000035,2024-03-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000036,2024-03-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000037,2024-04-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000038,2024-04-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000039,2024-04-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000040,2024-04-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000041,2024-04-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000042,2024-04-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000043,2024-04-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000044,2024-04-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000045,2024-04-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000046,2024-04-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000047,2024-04-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000048,2024-04-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000049,2024-05-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000050,2024-05-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000051,2024-05-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000052,2024-05-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000053,2024-05-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000054,2024-05-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000055,2024-05-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000056,2024-05-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000057,2024-05-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000058,2024-05-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000059,2024-05-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000060,2024-05-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000061,2024-06-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000062,2024-06-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000063,2024-06-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000064,2024-06-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000065,2024-06-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000066,2024-06-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000067,2024-06-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000068,2024-06-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000069,2024-06-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000070,2024-06-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000071,2024-06-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000072,2024-06-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000073,2024-07-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000074,2024-07-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000075,2024-07-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000076,2024-07-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000077,2024-07-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000078,2024-07-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000079,2024-07-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000080,2024-07-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000081,2024-07-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000082,2024-07-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000083,2024-07-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000084,2024-07-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000085,2024-08-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000086,2024-08-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000087,2024-08-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000088,2024-08-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000089,2024-08-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000090,2024-08-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000091,2024-08-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000092,2024-08-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000093,2024-08-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000094,2024-08-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000095,2024-08-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000096,2024-08-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000097,2024-09-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000098,2024-09-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000099,2024-09-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000100,2024-09-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000101,2024-09-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000102,2024-09-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000103,2024-09-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000104,2024-09-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000105,2024-09-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000106,2024-09-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000107,2024-09-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000108,2024-09-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000109,2024-10-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000110,2024-10-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000111,2024-10-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000112,2024-10-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000113,2024-10-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000114,2024-10-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000115,2024-10-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000116,2024-10-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000117,2024-10-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000118,2024-10-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000119,2024-10-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000120,2024-10-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000121,2024-11-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000122,2024-11-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000123,2024-11-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000124,2024-11-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000125,2024-11-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000126,2024-11-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000127,2024-11-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000128,2024-11-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000129,2024-11-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000130,2024-11-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000131,2024-11-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000132,2024-11-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000133,2024-12-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000134,2024-12-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000135,2024-12-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000136,2024-12-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000137,2024-12-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000138,2024-12-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000139,2024-12-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000140,2024-12-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000141,2024-12-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000142,2024-12-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,6,False
A000143,2024-12-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,6,False
A000144,2024-12-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,6,False
A000145,2025-01-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000146,2025-01-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000147,2025-01-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000148,2025-01-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000149,2025-01-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000150,2025-01-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000151,2025-01-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000152,2025-01-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000153,2025-01-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000154,2025-01-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,22,False
A000155,2025-01-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,22,False
A000156,2025-01-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,22,False
A000157,2025-01-01,C5,New Client,SME,P1,Core A,Core,SUP1,22,100,60,2200,1320,880,121.0,759.0,1,1,0,2,30,7,False
A000158,2025-01-01,C5,New Client,SME,P2,Core B,Core,SUP2,24,125,78,3000,1872,1128,165.0,963.0,2,2,0,2,30,7,False
A000159,2025-01-01,C5,New Client,SME,P3,Premium,Premium,SUP1,26,150,96,3900,2496,1404,214.5,1189.5,3,3,0,2,30,7,False
A000160,2025-02-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000161,2025-02-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000162,2025-02-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000163,2025-02-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000164,2025-02-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
A000165,2025-02-01,C2,Growth Client,Mid,P3,Premium,Premium,SUP1,17,150,96,2550,1632,918,140.25,777.75,3,3,0,2,30,4,False
A000166,2025-02-01,C3,Stable Client,SME,P1,Core A,Core,SUP1,16,100,60,1600,960,640,88.0,552.0,1,1,0,2,30,5,False
A000167,2025-02-01,C3,Stable Client,SME,P2,Core B,Core,SUP2,18,125,78,2250,1404,846,123.75,722.25,2,2,0,2,30,5,False
A000168,2025-02-01,C3,Stable Client,SME,P3,Premium,Premium,SUP1,20,150,96,3000,1920,1080,165.0,915.0,3,3,0,2,30,5,False
A000169,2025-02-01,C4,At Risk Client,Mid,P1,Core A,Core,SUP1,19,100,60,1900,1140,760,104.5,655.5,1,1,0,2,30,22,False
A000170,2025-02-01,C4,At Risk Client,Mid,P2,Core B,Core,SUP2,21,125,78,2625,1638,987,144.38,842.62,2,2,0,2,30,22,False
A000171,2025-02-01,C4,At Risk Client,Mid,P3,Premium,Premium,SUP1,23,150,96,3450,2208,1242,189.75,1052.25,3,3,0,2,30,22,False
A000172,2025-02-01,C5,New Client,SME,P1,Core A,Core,SUP1,22,100,60,2200,1320,880,121.0,759.0,1,1,0,2,30,7,False
A000173,2025-02-01,C5,New Client,SME,P2,Core B,Core,SUP2,24,125,78,3000,1872,1128,165.0,963.0,2,2,0,2,30,7,False
A000174,2025-02-01,C5,New Client,SME,P3,Premium,Premium,SUP1,26,150,96,3900,2496,1404,214.5,1189.5,3,3,0,2,30,7,False
A000175,2025-03-01,C1,Anchor Client,Enterprise,P1,Core A,Core,SUP1,30,100,60,3000,1800,1200,105.0,1095.0,1,1,0,2,30,3,False
A000176,2025-03-01,C1,Anchor Client,Enterprise,P2,Core B,Core,SUP2,36,125,78,4500,2808,1692,157.5,1534.5,2,2,0,2,30,3,False
A000177,2025-03-01,C1,Anchor Client,Enterprise,P3,Premium,Premium,SUP1,42,150,96,6300,4032,2268,220.5,2047.5,3,3,0,2,30,3,False
A000178,2025-03-01,C2,Growth Client,Mid,P1,Core A,Core,SUP1,13,100,60,1300,780,520,71.5,448.5,1,1,0,2,30,4,False
A000179,2025-03-01,C2,Growth Client,Mid,P2,Core B,Core,SUP2,15,125,78,1875,1170,705,103.12,601.88,2,2,0,2,30,4,False
