period_end,line_code,line_name,amount
2026-01-30,REV,Revenue,165000.0
2026-01-30,COGS,Cost of Sales,69300.0
2026-01-30,GP,Gross Profit,95700.0
2026-01-30,EBITDA,EBITDA,59400.0
2026-02-28,REV,Revenue,244904.0
2026-02-28,COGS,Cost of Sales,102859.68
2026-02-28,GP,Gross Profit,142044.32
2026-02-28,EBITDA,EBITDA,88165.44
2026-03-30,REV,Revenue,225280.0
2026-03-30,COGS,Cost of Sales,94617.6
2026-03-30,GP,Gross Profit,130662.4
2026-03-30,EBITDA,EBITDA,81100.8
2026-04-30,REV,Revenue,273504.0
2026-04-30,COGS,Cost of Sales,114871.68
2026-04-30,GP,Gross Profit,158632.32
2026-04-30,EBITDA,EBITDA,98461.44
2026-05-30,REV,Revenue,195976.0
2026-05-30,COGS,Cost of Sales,82309.92
2026-05-30,GP,Gross Profit,113666.08
2026-05-30,EBITDA,EBITDA,70551.36
2026-06-30,REV,Revenue,268180.0
2026-06-30,COGS,Cost of Sales,112635.6
2026-06-30,GP,Gross Profit,155544.4
2026-06-30,EBITDA,EBITDA,96544.8
2026-07-30,REV,Revenue,212256.0
2026-07-30,COGS,Cost of Sales,89147.52
2026-07-30,GP,Gross Profit,123108.48
2026-07-30,EBITDA,EBITDA,76412.16
2026-08-30,REV,Revenue,298100.0
2026-08-30,COGS,Cost of Sales,125202.0
2026-08-30,GP,Gross Profit,172898.0
2026-08-30,EBITDA,EBITDA,107316.0
2026-09-30,REV,Revenue,192896.0
2026-09-30,COGS,Cost of Sales,81016.32
2026-09-30,GP,Gross Profit,111879.68
2026-09-30,EBITDA,EBITDA,69442.56
2026-10-30,REV,Revenue,268136.0
2026-10-30,COGS,Cost of Sales,112617.12
2026-10-30,GP,Gross Profit,155518.88
2026-10-30,EBITDA,EBITDA,96528.96
2026-11-30,REV,Revenue,234080.0
2026-11-30,COGS,Cost of Sales,98313.6
2026-11-30,GP,Gross Profit,135766.4
2026-11-30,EBITDA,EBITDA,84268.8
2026-12-30,REV,Revenue,298848.0
2026-12-30,COGS,Cost of Sales,125516.16
2026-12-30,GP,Gross Profit,173331.84
2026-12-30,EBITDA,EBITDA,107585.28
