period_end,line_code,line_name,amount
2026-01-30,REV,Revenue,154000.0
2026-01-30,COGS,Cost of Sales,64680.0
2026-01-30,GP,Gross Profit,89320.0
2026-01-30,EBITDA,EBITDA,55440.0
2026-02-28,REV,Revenue,392000.0
2026-02-28,COGS,Cost of Sales,164640.0
2026-02-28,GP,Gross Profit,227360.0
2026-02-28,EBITDA,EBITDA,141120.0
2026-03-30,REV,Revenue,196000.0
2026-03-30,COGS,Cost of Sales,82320.0
2026-03-30,GP,Gross Profit,113680.0
2026-03-30,EBITDA,EBITDA,70560.0
2026-04-30,REV,Revenue,462000.0
2026-04-30,COGS,Cost of Sales,194040.0
2026-04-30,GP,Gross Profit,267960.0
2026-04-30,EBITDA,EBITDA,166320.0
2026-05-30,REV,Revenue,140000.0
2026-05-30,COGS,Cost of Sales,58800.0
2026-05-30,GP,Gross Profit,81200.0
2026-05-30,EBITDA,EBITDA,50400.0
2026-06-30,REV,Revenue,336000.0
2026-06-30,COGS,Cost of Sales,141120.0
2026-06-30,GP,Gross Profit,194880.0
2026-06-30,EBITDA,EBITDA,120960.0
2026-07-30,REV,Revenue,224000.0
2026-07-30,COGS,Cost of Sales,94080.0
2026-07-30,GP,Gross Profit,129920.0
2026-07-30,EBITDA,EBITDA,80640.0
2026-08-30,REV,Revenue,434000.0
2026-08-30,COGS,Cost of Sales,182280.0
2026-08-30,GP,Gross Profit,251720.0
2026-08-30,EBITDA,EBITDA,156240.0
2026-09-30,REV,Revenue,182000.0
2026-09-30,COGS,Cost of Sales,76440.0
2026-09-30,GP,Gross Profit,105560.0
2026-09-30,EBITDA,EBITDA,65520.0
2026-10-30,REV,Revenue,364000.0
2026-10-30,COGS,Cost of Sales,152880.0
2026-10-30,GP,Gross Profit,211120.0
2026-10-30,EBITDA,EBITDA,131040.0
2026-11-30,REV,Revenue,210000.0
2026-11-30,COGS,Cost of Sales,88200.0
2026-11-30,GP,Gross Profit,121800.0
2026-11-30,EBITDA,EBITDA,75600.0
2026-12-30,REV,Revenue,448000.0
2026-12-30,COGS,Cost of Sales,188160.0
2026-12-30,GP,Gross Profit,259840.0
2026-12-30,EBITDA,EBITDA,161280.0
