opportunity_id,customer_id,close_date,stage_outcome,value,opportunity_type,win_loss_reason
OPP001,C001,2026-01-10,LOST,53500,New Logo,Timing
OPP002,C002,2026-02-10,OPEN,57000,Renewal,Competition
OPP003,C003,2026-03-10,WON,60500,Expansion,Price
OPP004,C004,2026-04-10,LOST,64000,New Logo,Timing
OPP005,C005,2026-05-10,OPEN,67500,Renewal,Competition
OPP006,C006,2026-06-10,WON,71000,Expansion,Price
OPP007,C007,2026-07-10,LOST,74500,New Logo,Timing
OPP008,C008,2026-08-10,OPEN,78000,Renewal,Competition
OPP009,C009,2026-09-10,WON,81500,Expansion,Price
OPP010,C010,2026-01-10,LOST,85000,New Logo,Timing
OPP011,C011,2026-02-10,OPEN,88500,Renewal,Competition
OPP012,C012,2026-03-10,WON,92000,Expansion,Price
OPP013,C013,2026-04-10,LOST,95500,New Logo,Timing
OPP014,C014,2026-05-10,OPEN,99000,Renewal,Competition
OPP015,C015,2026-06-10,WON,102500,Expansion,Price
OPP016,C016,2026-07-10,LOST,106000,New Logo,Timing
OPP017,C017,2026-08-10,OPEN,109500,Renewal,Competition
OPP018,C018,2026-09-10,WON,113000,Expansion,Price
OPP019,C019,2026-01-10,LOST,116500,New Logo,Timing
OPP020,C020,2026-02-10,OPEN,120000,Renewal,Competition
OPP021,C001,2026-03-10,WON,123500,Expansion,Price
OPP022,C002,2026-04-10,LOST,127000,New Logo,Timing
OPP023,C003,2026-05-10,OPEN,130500,Renewal,Competition
OPP024,C004,2026-06-10,WON,134000,Expansion,Price
OPP025,C005,2026-07-10,LOST,137500,New Logo,Timing
OPP026,C006,2026-08-10,OPEN,141000,Renewal,Competition
OPP027,C007,2026-09-10,WON,144500,Expansion,Price
OPP028,C008,2026-01-10,LOST,148000,New Logo,Timing
OPP029,C009,2026-02-10,OPEN,151500,Renewal,Competition
OPP030,C010,2026-03-10,WON,155000,Expansion,Price
